id,NRIC,Type,Subtype,Therapist,Date Diagnosed
874,S4611311L,Chronic,Asthma,S4004274M,21-06-1981
875,S3617193O,Common,Allergy,S6336826K,07-03-1996
876,S2356252O,Chronic,Diabetes,S6505514W,20-11-1994
877,S3767857O,Physical,Backpain,S3623914K,23-09-2007
878,S6552190D,Physical,Urinary,S2526745K,10-05-1986
879,S3223873S,Mental,Eating Disorders,S5119711C,20-04-1997
880,S2934345Q,Physical,Caries,S6505514W,19-09-2000
881,S1664089J,Mental,Schizophrenia,S1361500H,05-01-1998
882,S8667408P,Physical,Caries,S6336826K,26-11-2008
883,S5973648C,Common,Headaches & Migraines,S7854499W,13-06-2007
884,S1368671D,Physical,Cataracts,S4004274M,10-12-1988
885,S3550866N,Common,Cold,S2526745K,10-03-1996
886,S3773358A,Chronic,Asthma,S6505514W,15-01-1982
887,S8417754J,Chronic,Hypertension,S7854499W,31-07-1999
888,S8663634D,Physical,Backpain,S7854499W,09-06-1984
889,S7087806O,Mental,Panic Attack,S7854499W,18-05-1993
890,S3294588W,Mental,Obsessive-Compulsive Disorder,S6336826K,18-01-2012
891,S8520040W,Physical,Chickenpox,S7854499W,24-07-2004
892,S1443657D,Chronic,Asthma,S4004274M,04-08-2016
893,S4478656U,Mental,Panic Attack,S3623914K,25-06-2003
894,S8468749O,Physical,Cataracts,S6336826K,05-11-1996
895,S7943742K,Common,Allergy,S2526745K,16-11-1992
896,S3500541Q,Chronic,Asthma,S1361500H,29-09-2001
897,S7654224X,Mental,Schizophrenia,S6505514W,24-11-1982
898,S9662375M,Chronic,Asthma,S7854499W,09-12-1988
899,S7449357N,Common,Headaches & Migraines,S4004274M,31-08-2005
900,S3525306X,Chronic,Asthma,S6336826K,05-08-2003
901,S6709046D,Physical,Urinary,S5119711C,23-09-2001
902,S8422101K,Mental,Panic Attack,S4004274M,27-05-2013
903,S5114500C,Mental,Depression,S5119711C,25-03-1999
904,S5872730E,Mental,Depression,S7854499W,30-07-2015
905,S6213229Q,Common,Allergy,S7854499W,14-09-2016
906,S1603997Y,Mental,Obsessive-Compulsive Disorder,S5633830K,29-06-2000
907,S9665353E,Physical,Caries,S5119711C,04-11-1991
908,S9985656V,Chronic,Hypertension,S6336826K,05-07-1987
909,S2798277D,Common,Headaches & Migraines,S1483342G,27-05-2013
910,S7256244R,Physical,Gout,S6505514W,06-05-1999
911,S2177632W,Mental,Schizophrenia,S7854499W,03-11-1995
912,S4645936M,Common,Allergy,S3623914K,20-08-2015
913,S5144111L,Mental,Depression,S1483342G,24-06-2001
914,S6655356A,Common,Cold,S5633830K,09-02-2016
915,S4478656U,Common,Headaches & Migraines,S2526745K,15-02-1995
916,S7337461K,Chronic,Cancer,S7854499W,22-02-2010
917,S2260721E,Mental,Obsessive-Compulsive Disorder,S5119711C,20-04-1984
918,S7426979P,Mental,Panic Attack,S4004274M,27-12-2001
919,S2964196S,Chronic,Cancer,S1361500H,26-06-1995
920,S3564022P,Mental,Eating Disorders,S7854499W,14-03-1989
921,S5947580U,Chronic,Cancer,S3623914K,21-09-2018
922,S7680836K,Physical,Cataracts,S3623914K,12-01-1989
923,S2913125R,Physical,Gingivitis,S5119711C,28-12-1982
924,S4953945W,Physical,Cataracts,S2526745K,07-02-2000
925,S6757774E,Mental,Depression,S5119711C,28-06-1983
926,S1516037V,Common,Cold,S1361500H,07-08-1997
927,S2381966Y,Common,Allergy,S7854499W,30-08-1988
928,S7697028J,Chronic,Heart Disease,S6336826K,05-05-1985
929,S8146454Q,Chronic,Cancer,S1483342G,14-10-2015
930,S5724356N,Common,Headaches & Migraines,S2526745K,20-06-1998
931,S1691197D,Common,Headaches & Migraines,S6336826K,02-11-1985
932,S8520697O,Physical,Haemorrhoids,S4004274M,22-06-2014
933,S9612153O,Mental,Schizophrenia,S4004274M,06-02-2008
934,S1754041L,Common,Cold,S1361500H,21-09-2014
935,S5133490Y,Chronic,Diabetes,S5119711C,01-05-1993
936,S9171677H,Common,Headaches & Migraines,S5633830K,20-10-2007
937,S8325585W,Chronic,Diabetes,S7854499W,07-02-1998
938,S2934345Q,Physical,Chickenpox,S3623914K,08-06-1987
939,S1800068S,Physical,Caries,S1361500H,30-12-1985
940,S4464666C,Physical,Gingivitis,S6505514W,20-01-1988
941,S3487695C,Physical,Urinary,S5119711C,11-03-1986
942,S7317410K,Mental,Schizophrenia,S1483342G,30-03-2003
943,S1137722V,Chronic,Heart Disease,S5119711C,21-06-2005
944,S7670262F,Physical,Gingivitis,S5119711C,02-11-2012
945,S8468749O,Chronic,Diabetes,S4004274M,13-01-1995
946,S2771472D,Common,Cold,S6336826K,07-01-1983
947,S4464666C,Chronic,Heart Disease,S3623914K,24-06-2000
948,S3819981F,Chronic,Hypertension,S1483342G,07-07-1996
949,S8017571G,Chronic,Diabetes,S3623914K,26-06-2001
950,S1556694G,Chronic,Asthma,S1483342G,26-07-1992
951,S5348287R,Common,Cold,S1483342G,09-01-2008
952,S7054318S,Common,Headaches & Migraines,S7854499W,17-08-2018
953,S2771947F,Common,Allergy,S4004274M,18-07-2003
954,S2151797Q,Common,Headaches & Migraines,S5119711C,10-04-1995
955,S8847461D,Chronic,Blood Cholesterol,S5633830K,17-02-2018
956,S3627112D,Common,Headaches & Migraines,S1361500H,18-03-2003
957,S4569307S,Physical,Bronchitis,S6336826K,19-05-2005
958,S9705213I,Common,Allergy,S7854499W,13-06-1998
959,S3767857O,Mental,Eating Disorders,S1483342G,16-01-1986
960,S8146454Q,Common,Cold,S6336826K,30-12-2003
961,S1516037V,Physical,Backpain,S2526745K,08-10-1990
962,S9350585J,Common,Allergy,S4004274M,20-07-2010
963,S6425083S,Common,Allergy,S2526745K,27-04-1985
964,S3228164W,Mental,Panic Attack,S6336826K,03-02-1982
965,S1921321U,Physical,Urinary,S1361500H,07-12-1982
966,S4758581M,Common,Cold,S2526745K,03-09-2008
967,S8675839E,Physical,Gingivitis,S5633830K,16-12-2005
968,S5403785R,Common,Allergy,S1483342G,30-04-1982
969,S8564662A,Common,Headaches & Migraines,S2526745K,17-07-2015
970,S2107249Y,Common,Headaches & Migraines,S4004274M,16-11-1999
971,S2853894X,Physical,Cataracts,S5119711C,08-09-2013
972,S5644615J,Common,Cold,S1483342G,23-05-1988
973,S1027699D,Mental,Depression,S6336826K,21-06-2001
974,S3564022P,Chronic,Blood Cholesterol,S5633830K,26-06-1996
975,S8882982F,Chronic,Diabetes,S6336826K,06-04-2000
976,S6655356A,Physical,Gout,S6505514W,21-12-2016
977,S7794628I,Physical,Gingivitis,S7854499W,26-06-1988
978,S9778032F,Mental,Panic Attack,S4004274M,18-10-1991
979,S6997766X,Physical,Gout,S6505514W,09-09-1987
980,S9488406S,Mental,Depression,S6505514W,13-08-2013
981,S6846213U,Chronic,Heart Disease,S2526745K,16-09-2001
982,S1769429E,Physical,Chickenpox,S6336826K,30-12-2000
983,S3632347D,Physical,Gingivitis,S6336826K,29-04-2004
984,S2164919C,Common,Cold,S6505514W,13-02-1981
985,S8876868K,Common,Cold,S4004274M,04-12-2011
986,S2798277D,Mental,Schizophrenia,S7854499W,20-04-2012
987,S2584674F,Chronic,Blood Cholesterol,S1361500H,24-05-2013
988,S6606315X,Mental,Panic Attack,S1361500H,15-11-2002
989,S3888591G,Physical,Backpain,S1483342G,04-05-2007
990,S7875159X,Mental,Schizophrenia,S1483342G,23-10-2017
991,S4116179E,Physical,Haemorrhoids,S7854499W,11-02-1983
992,S2206032T,Physical,Chickenpox,S2526745K,26-10-2006
993,S1543299A,Mental,Obsessive-Compulsive Disorder,S5633830K,26-09-1995
994,S7316229L,Common,Headaches & Migraines,S4004274M,16-05-1997
995,S3564022P,Physical,Caries,S5633830K,12-09-2006
996,S6626104I,Physical,Bronchitis,S1361500H,08-02-1990
997,S2784495R,Chronic,Cancer,S5633830K,03-06-2002
998,S7831455Y,Physical,Cataracts,S5119711C,31-05-2008
999,S4122501T,Chronic,Diabetes,S6505514W,22-10-1991
